call_id,rep_id,hcp_id,call_date,channel
,11,126,2025-04-10,
262.0,10,79,2025-08-26,in-person
359.0,3,112,2025-01-25,in-person
48.0,3,12,,virtual
494.0,8,154,,in-person
452.0,15,136,2025-04-05,in-person
99.0,3,34,2025-03-26,email
150.0,11,52,2025-04-10,in-person
257.0,16,76,2025-01-10,
72.0,16,24,01/15/2025,in-person
251.0,10,73,06/08/2025,virtual
622.0,3,187,2025-06-26,virtual
,8,67,2025-01-25,virtual
558.0,11,173,2025-07-20,in-person
159.0,3,54,2025-12-24,virtual
417.0,11,125,2025-09-17,
,11,124,05/12/2025,in-person
441.0,18,132,2025-05-04,virtual
25.0,3,6,2025-05-26,virtual
284.0,3,87,2025-03-12,in-person
346.0,4,108,2025-09-10,virtual
641.0,11,193,2025-11-21,
107.0,15,36,2025-04-26,in-person
489.0,14,153,2025-12-16,virtual
88.0,3,32,2025-11-21,in-person
,13,48,,virtual
182.0,15,59,2025-09-16,virtual
340.0,3,107,05/11/2025,in-person
,5,41,2025-03-17,virtual
401.0,11,122,2025-06-21,in-person
516.0,1,162,2025-05-16,in-person
629.0,16,191,2025-08-18,virtual
42.0,7,10,2025-08-05,virtual
81.0,6,29,2025-11-04,
75.0,3,25,2025-07-18,
279.0,5,86,08/18/2025,in-person
37.0,3,8,,in-person
408.0,11,123,2025-05-11,in-person
167.0,12,55,2025-03-25,virtual
163.0,12,55,2025-11-09,in-person
465.0,10,142,2025-01-22,in-person
642.0,11,193,2025-01-18,virtual
496.0,8,155,2025-06-14,in-person
98.0,3,34,2025-08-21,in-person
443.0,17,133,2025-05-25,in-person
134.0,11,47,2025-08-27,in-person
116.0,3,40,2025-11-14,email
123.0,5,41,2025-09-19,
477.0,16,146,2025-01-27,virtual
427.0,11,126,2025-07-13,in-person
197.0,18,62,2025-03-26,email
567.0,3,175,2025-08-27,in-person
121.0,5,41,2025-06-07,in-person
138.0,11,47,,email
646.0,11,195,2025-12-01,in-person
74.0,3,25,2025-05-16,in-person
88.0,3,32,2025-11-21,in-person
26.0,4,7,2025-11-22,in-person
185.0,15,59,2025-01-10,in-person
376.0,12,115,2025-05-08,in-person
70.0,11,23,2025-07-05,email
444.0,17,133,2025-02-15,email
345.0,4,108,2025-02-11,in-person
432.0,10,129,2025-04-15,in-person
561.0,3,175,2025-03-15,in-person
498.0,8,155,2025-10-02,virtual
413.0,11,124,2025-03-13,
229.0,10,68,2025-01-14,in-person
94.0,5,33,2025-06-01,virtual
216.0,15,66,2025-01-09,in-person
240.0,3,71,2025-06-15,virtual
583.0,11,178,2025-02-11,virtual
154.0,11,53,2025-02-21,virtual
,11,99,2025-06-04,
664.0,15,199,2025-08-24,virtual
61.0,3,20,2025-06-10,virtual
627.0,11,190,2025-12-12,
461.0,16,140,2025-08-16,virtual
518.0,1,162,2025-08-15,in-person
310.0,8,97,2025-01-28,in-person
608.0,11,184,2025-02-24,virtual
183.0,15,59,2025-08-25,in-person
656.0,19,197,2025-05-19,virtual
255.0,16,76,2025-11-19,in-person
27.0,4,7,2025-06-16,virtual
40.0,7,10,2025-03-02,virtual
469.0,10,142,2025-05-18,in-person
552.0,14,172,2025-12-21,in-person
103.0,3,35,2025-05-15,virtual
311.0,18,98,2025-11-23,email
409.0,11,124,2025-11-11,in-person
584.0,11,178,2025-07-12,virtual
375.0,11,114,2025-06-03,in-person
566.0,3,175,,email
454.0,20,137,2025-03-15,virtual
,14,139,2025-09-04,
89.0,3,32,2025-09-23,virtual
616.0,9,185,2025-06-16,in-person
14.0,11,2,2025-01-12,in-person
159.0,3,54,2025-12-24,virtual
588.0,11,178,03/23/2025,in-person
602.0,17,181,2025-12-16,in-person
131.0,3,45,,email
355.0,11,110,2025-07-10,virtual
4.0,6,1,2025-01-01,in-person
2.0,6,1,2025-04-13,virtual
285.0,17,88,2025-08-04,email
574.0,3,176,2025-12-27,virtual
457.0,14,139,2025-03-10,in-person
233.0,2,70,2025-02-22,in-person
9.0,6,1,2025-09-14,
356.0,11,110,2025-02-19,in-person
64.0,16,21,2025-11-11,virtual
273.0,20,84,2025-08-18,in-person
391.0,11,119,2025-03-02,in-person
129.0,8,44,2025-09-23,email
598.0,17,181,2025-02-09,email
222.0,8,67,2025-11-22,email
449.0,15,136,2025-07-11,email
657.0,12,198,2025-04-17,in-person
85.0,3,32,02/13/2025,in-person
572.0,3,176,2025-08-12,in-person
595.0,1,180,2025-06-27,in-person
161.0,12,55,2025-08-02,
248.0,19,72,2025-09-27,email
464.0,10,142,07/14/2025,
,10,64,2025-05-23,email
214.0,6,65,2025-08-15,in-person
394.0,5,120,2025-08-28,email
410.0,11,124,2025-07-22,in-person
593.0,1,180,2025-10-18,in-person
390.0,11,119,2025-11-26,in-person
474.0,3,145,2025-02-25,virtual
,5,33,2025-07-14,email
232.0,2,70,2025-03-28,in-person
463.0,18,141,2025-11-23,in-person
526.0,9,165,04/01/2025,in-person
170.0,10,56,2025-08-27,in-person
,8,168,03/23/2025,in-person
7.0,6,1,2025-03-20,in-person
35.0,3,8,2025-05-19,in-person
560.0,2,174,2025-06-12,email
544.0,3,169,2025-11-20,virtual
314.0,11,99,2025-02-13,email
426.0,11,126,02/20/2025,in-person
388.0,11,119,2025-10-15,in-person
418.0,11,125,2025-07-22,in-person
171.0,10,56,2025-09-03,in-person
428.0,11,126,2025-01-06,virtual
503.0,19,157,2025-11-28,virtual
453.0,15,136,2025-01-27,in-person
77.0,3,25,2025-02-03,virtual
172.0,10,56,,in-person
303.0,19,93,2025-05-17,in-person
395.0,5,120,2025-10-03,virtual
491.0,14,153,2025-11-17,in-person
59.0,16,18,2025-01-01,email
,5,120,2025-02-02,in-person
569.0,3,176,06/16/2025,in-person
274.0,20,84,2025-01-20,in-person
624.0,3,189,02/13/2025,virtual
542.0,8,168,,virtual
,8,168,2025-11-05,in-person
136.0,11,47,2025-09-21,virtual
559.0,2,174,2025-12-24,email
249.0,19,72,2025-03-10,virtual
256.0,16,76,,in-person
471.0,10,144,2025-01-12,in-person
238.0,3,71,2025-12-10,virtual
430.0,16,128,2025-03-14,in-person
39.0,19,9,2025-02-25,in-person
49.0,11,13,2025-05-03,virtual
587.0,11,178,2025-08-02,in-person
46.0,3,12,09/24/2025,email
221.0,8,67,2025-06-03,in-person
633.0,16,191,2025-05-17,in-person
43.0,3,11,2025-11-18,virtual
38.0,3,8,2025-11-21,virtual
28.0,4,7,2025-08-26,virtual
137.0,11,47,2025-03-05,in-person
133.0,11,47,2025-05-28,in-person
597.0,17,181,2025-11-01,virtual
365.0,5,113,2025-09-26,in-person
442.0,18,132,,email
640.0,16,192,2025-12-10,in-person
231.0,11,69,2025-11-26,in-person
578.0,11,177,01/02/2025,in-person
322.0,4,101,2025-07-14,virtual
101.0,3,35,2025-07-03,in-person
415.0,11,125,2025-02-23,virtual
45.0,3,12,2025-10-15,email
,3,189,2025-10-25,virtual
433.0,10,129,08/08/2025,in-person
492.0,8,154,02/14/2025,virtual
611.0,11,184,2025-10-22,in-person
384.0,13,117,,in-person
283.0,3,87,2025-07-09,in-person
556.0,11,173,2025-08-15,in-person
111.0,3,37,2025-09-25,in-person
604.0,11,184,2025-07-14,in-person
510.0,5,159,2025-02-17,in-person
292.0,12,91,2025-06-27,virtual
638.0,16,192,2025-06-16,in-person
163.0,12,55,2025-11-09,in-person
,3,196,2025-02-24,in-person
344.0,3,107,,email
268.0,3,83,2025-09-22,virtual
200.0,18,62,,in-person
237.0,3,71,2025-05-12,email
497.0,8,155,2025-05-15,in-person
