hcp_id,specialty,region,potential_score,assigned_rep_id
102,Neurology,North,41.0,19.0
77,General Medicine,West,51.0,11.0
181,Cardiology,Central,62.0,17.0
141,Cardiology,Central,54.0,18.0
68,Oncology,Central,70.0,10.0
98,General Medicine,Central,55.0,18.0
28,Endocrinology,Central,57.0,17.0
89,General Medicine,South,39.0,
84,Neurology,Central,39.0,20.0
15,General Medicine,North,15.0,7.0
160,Oncology,Central,63.0,18.0
145,Oncology,East,55.0,3.0
171,Oncology,West,,11.0
111,Endocrinology,West,11.0,11.0
152,General Medicine,Central,56.0,8.0
153,Cardiology,North,36.0,14.0
39,Endocrinology,West,23.0,11.0
23,Oncology,West,51.0,11.0
113,,South,51.0,5.0
65,Oncology,South,66.0,6.0
158,Oncology,East,59.0,3.0
109,General Medicine,South,55.0,6.0
198,Neurology,North,53.0,12.0
60,Oncology,North,69.0,12.0
176,Endocrinology,East,66.0,3.0
144,General Medicine,Central,53.0,10.0
49,Endocrinology,South,56.0,16.0
91,Cardiology,,51.0,12.0
30,Oncology,West,44.0,11.0
182,General Medicine,,32.0,3.0
194,Oncology,South,25.0,4.0
177,General Medicine,West,50.0,11.0
146,Oncology,South,65.0,16.0
138,Neurology,South,43.0,4.0
46,General Medicine,South,35.0,15.0
162,General Medicine,North,65.0,1.0
186,Cardiology,East,64.0,3.0
10,Oncology,North,60.0,7.0
147,Oncology,South,25.0,6.0
51,Neurology,North,56.0,7.0
150,Cardiology,East,55.0,3.0
34,Neurology,,28.0,3.0
7,Endocrinology,South,81.0,4.0
64,Endocrinology,Central,26.0,10.0
133,General Medicine,Central,28.0,17.0
6,Oncology,East,45.0,3.0
104,Neurology,,33.0,11.0
185,Oncology,North,45.0,9.0
33,Cardiology,South,49.0,5.0
83,Neurology,East,79.0,3.0
16,General Medicine,East,38.0,3.0
27,Endocrinology,Central,,17.0
110,Endocrinology,West,,11.0
182,General Medicine,,32.0,3.0
151,Neurology,North,55.0,19.0
43,Neurology,Central,47.0,18.0
90,Cardiology,South,60.0,4.0
165,Cardiology,North,69.0,9.0
193,,West,,11.0
105,Cardiology,North,,14.0
175,Endocrinology,East,55.0,3.0
11,General Medicine,East,40.0,3.0
75,General Medicine,North,5.0,12.0
172,Cardiology,North,33.0,14.0
4,Cardiology,East,80.0,3.0
178,General Medicine,West,79.0,11.0
112,Neurology,East,49.0,3.0
15,General Medicine,North,15.0,7.0
14,Neurology,North,11.0,13.0
119,Neurology,,72.0,11.0
70,Oncology,North,37.0,2.0
155,Oncology,Central,55.0,8.0
115,Cardiology,North,46.0,12.0
21,Cardiology,South,79.0,16.0
199,,South,51.0,15.0
197,Neurology,North,32.0,19.0
118,Neurology,South,26.0,16.0
107,Cardiology,East,87.0,3.0
72,Endocrinology,North,80.0,19.0
187,Endocrinology,East,59.0,
52,General Medicine,West,42.0,11.0
63,General Medicine,East,27.0,3.0
120,Neurology,South,65.0,5.0
55,Cardiology,North,70.0,12.0
3,General Medicine,West,62.0,11.0
94,General Medicine,North,43.0,13.0
174,Cardiology,North,56.0,2.0
157,Endocrinology,,87.0,19.0
129,General Medicine,Central,51.0,10.0
26,,East,,
82,Neurology,East,57.0,3.0
130,Oncology,North,39.0,1.0
87,Cardiology,East,68.0,
67,Cardiology,,48.0,8.0
31,,Central,37.0,10.0
80,Endocrinology,West,10.0,11.0
136,Cardiology,South,80.0,15.0
38,,West,10.0,11.0
22,Oncology,West,45.0,11.0
44,Neurology,Central,,8.0
1,General Medicine,South,59.0,
76,Endocrinology,South,66.0,16.0
5,Neurology,South,45.0,16.0
47,Cardiology,West,40.0,11.0
192,Endocrinology,South,67.0,16.0
188,Cardiology,South,48.0,4.0
139,General Medicine,North,66.0,14.0
106,Neurology,North,58.0,9.0
103,Neurology,East,,3.0
45,Endocrinology,East,20.0,3.0
41,General Medicine,South,64.0,5.0
123,Oncology,West,78.0,11.0
2,Endocrinology,West,47.0,11.0
183,Endocrinology,Central,28.0,17.0
40,Endocrinology,East,53.0,3.0
99,Endocrinology,West,50.0,11.0
163,Cardiology,East,73.0,3.0
179,Cardiology,North,44.0,19.0
195,Endocrinology,West,53.0,11.0
124,Oncology,West,21.0,11.0
92,Cardiology,South,69.0,4.0
36,General Medicine,South,25.0,
50,General Medicine,West,14.0,11.0
20,Cardiology,East,21.0,3.0
142,Cardiology,Central,76.0,10.0
85,Endocrinology,North,33.0,19.0
127,Oncology,South,30.0,16.0
12,Cardiology,East,40.0,3.0
13,General Medicine,West,54.0,11.0
42,Oncology,Central,53.0,10.0
61,Endocrinology,Central,40.0,10.0
125,General Medicine,West,61.0,11.0
189,General Medicine,East,33.0,3.0
134,Cardiology,South,59.0,16.0
19,Endocrinology,North,31.0,2.0
166,Endocrinology,Central,58.0,8.0
9,Neurology,North,40.0,19.0
97,Endocrinology,Central,,8.0
137,Cardiology,Central,34.0,20.0
167,Oncology,East,66.0,3.0
95,Oncology,South,42.0,16.0
170,General Medicine,East,34.0,3.0
100,Neurology,West,45.0,11.0
73,,Central,49.0,10.0
200,Oncology,West,27.0,11.0
29,Neurology,South,37.0,6.0
78,Oncology,South,44.0,15.0
173,Oncology,West,48.0,11.0
116,Cardiology,Central,56.0,20.0
44,Neurology,Central,,8.0
169,Endocrinology,East,45.0,
101,Cardiology,South,21.0,4.0
148,Endocrinology,West,23.0,11.0
74,Neurology,North,81.0,19.0
108,Endocrinology,South,53.0,4.0
140,General Medicine,South,25.0,16.0
58,,East,43.0,3.0
196,Endocrinology,East,57.0,3.0
159,Neurology,South,26.0,5.0
126,Endocrinology,West,93.0,11.0
56,Oncology,Central,68.0,10.0
117,Endocrinology,North,,13.0
128,Cardiology,South,38.0,16.0
8,Cardiology,East,65.0,3.0
57,Cardiology,East,33.0,3.0
135,Cardiology,Central,31.0,17.0
17,General Medicine,East,29.0,3.0
168,Endocrinology,Central,87.0,8.0
48,Cardiology,North,71.0,13.0
154,Endocrinology,Central,54.0,8.0
161,General Medicine,,30.0,17.0
164,Oncology,South,33.0,
122,Cardiology,West,,11.0
191,Endocrinology,South,,16.0
156,,South,35.0,15.0
124,Oncology,West,21.0,11.0
35,Cardiology,East,66.0,
181,Cardiology,Central,62.0,17.0
78,Oncology,South,44.0,15.0
37,Endocrinology,East,54.0,3.0
131,Cardiology,North,,
143,General Medicine,West,17.0,11.0
54,General Medicine,East,,3.0
62,Cardiology,Central,46.0,18.0
141,Cardiology,Central,54.0,18.0
66,General Medicine,South,77.0,15.0
24,Oncology,South,21.0,16.0
184,Endocrinology,West,,11.0
114,General Medicine,West,99.0,11.0
81,Endocrinology,Central,45.0,
18,Cardiology,South,56.0,16.0
21,Cardiology,South,79.0,16.0
132,Neurology,Central,51.0,18.0
190,General Medicine,West,19.0,11.0
69,Cardiology,West,57.0,11.0
35,Cardiology,East,66.0,
53,General Medicine,West,36.0,11.0
32,Cardiology,East,,3.0
96,Endocrinology,,20.0,11.0
93,Oncology,North,35.0,19.0
121,Endocrinology,North,65.0,19.0
71,Endocrinology,East,57.0,3.0
149,Neurology,East,60.0,3.0
88,General Medicine,Central,56.0,17.0
180,Endocrinology,North,99.0,1.0
134,Cardiology,South,59.0,16.0
86,Cardiology,South,39.0,5.0
79,General Medicine,Central,51.0,10.0
59,Neurology,South,56.0,15.0
25,Endocrinology,East,39.0,3.0
