rx_id,hcp_id,product,month,trx,nrx
1129.0,48,ProductA,2025-01-01,31.0,4.0
2545.0,107,ProductA,2025-01-01,45.0,10.0
2975.0,124,ProductB,2025-11-01,13.0,1.0
1379.0,58,ProductA,2025-11-01,43.0,10.0
944.0,40,ProductA,2025-08-01,16.0,3.0
1868.0,78,ProductB,2025-08-01,39.0,
2647.0,111,ProductA,2025-07-01,6.0,0.0
4798.0,200,ProductB,2025-10-01,17.0,3.0
2989.0,125,ProductB,2025-01-01,36.0,7.0
3376.0,141,ProductB,2025-04-01,30.0,3.0
2052.0,86,ProductA,2025-12-01,41.0,
1533.0,64,ProductB,2025-09-01,31.0,6.0
2063.0,86,ProductB,2025-11-01,,11.0
615.0,26,ProductB,2025-03-01,7.0,0.0
,71,ProductA,01/01/2025,23.0,
3592.0,150,ProductB,2025-04-01,24.0,4.0
1179.0,50,ProductA,2025-03-01,3.0,0.0
4215.0,176,ProductB,2025-03-01,32.0,4.0
4318.0,180,ProductB,10/01/2025,75.0,11.0
2384.0,100,ProductA,,21.0,3.0
534.0,23,ProductA,2025-06-01,29.0,5.0
3620.0,151,ProductB,08/01/2025,23.0,4.0
3589.0,150,ProductB,2025-01-01,25.0,4.0
2187.0,92,,2025-03-01,37.0,6.0
1044.0,44,ProductA,2025-12-01,21.0,4.0
1453.0,61,ProductB,2025-01-01,15.0,1.0
2620.0,110,ProductA,2025-04-01,25.0,5.0
4433.0,185,,2025-05-01,34.0,7.0
4647.0,194,ProductB,2025-03-01,2.0,0.0
3679.0,154,ProductA,2025-07-01,38.0,5.0
2079.0,87,ProductB,2025-03-01,37.0,5.0
805.0,34,ProductB,2025-01-01,17.0,2.0
2350.0,98,ProductB,10/01/2025,37.0,4.0
2312.0,97,ProductA,2025-08-01,37.0,3.0
1960.0,82,ProductB,2025-04-01,31.0,4.0
997.0,42,ProductB,2025-01-01,20.0,3.0
3833.0,160,ProductB,2025-05-01,43.0,7.0
2898.0,121,ProductB,2025-06-01,34.0,8.0
993.0,42,ProductA,2025-09-01,29.0,6.0
499.0,21,ProductB,2025-07-01,33.0,3.0
1809.0,76,ProductA,2025-09-01,24.0,4.0
4207.0,176,ProductA,2025-07-01,49.0,12.0
966.0,41,ProductA,2025-06-01,37.0,7.0
4791.0,200,ProductB,03/01/2025,10.0,1.0
415.0,18,,2025-07-01,26.0,2.0
2615.0,109,ProductB,2025-11-01,57.0,10.0
,190,ProductB,2025-09-01,7.0,0.0
2271.0,95,ProductB,2025-03-01,15.0,1.0
432.0,18,ProductB,2025-12-01,46.0,11.0
3469.0,145,ProductB,2025-01-01,31.0,7.0
1018.0,43,ProductA,2025-10-01,23.0,2.0
1761.0,74,ProductA,09/01/2025,55.0,7.0
26.0,2,ProductA,02/01/2025,28.0,6.0
3314.0,139,ProductA,2025-02-01,38.0,7.0
1551.0,65,ProductB,2025-03-01,37.0,4.0
973.0,41,ProductB,2025-01-01,29.0,5.0
,3,ProductA,2025-07-01,34.0,4.0
2710.0,113,ProductB,2025-10-01,28.0,6.0
2131.0,89,ProductB,2025-07-01,17.0,2.0
4738.0,198,ProductA,2025-10-01,59.0,
515.0,22,ProductA,2025-11-01,56.0,11.0
1143.0,48,ProductB,2025-03-01,42.0,4.0
2857.0,120,ProductA,2025-01-01,37.0,4.0
3607.0,151,ProductA,2025-07-01,25.0,5.0
1460.0,61,ProductB,2025-08-01,14.0,2.0
2484.0,104,ProductA,2025-12-01,15.0,2.0
4565.0,191,ProductA,2025-05-01,24.0,
3635.0,152,ProductA,11/01/2025,11.0,1.0
1001.0,42,,2025-05-01,28.0,6.0
1338.0,56,ProductB,2025-06-01,50.0,5.0
4190.0,175,ProductB,2025-02-01,19.0,
1214.0,51,ProductB,2025-02-01,,
3624.0,151,ProductB,2025-12-01,32.0,5.0
1636.0,69,ProductA,2025-04-01,29.0,6.0
,1,ProductB,2025-05-01,74.0,16.0
4052.0,169,ProductB,2025-08-01,50.0,5.0
18.0,1,,,86.0,19.0
3574.0,149,ProductB,2025-10-01,47.0,4.0
4758.0,199,ProductA,2025-06-01,35.0,8.0
3277.0,137,ProductB,2025-01-01,17.0,1.0
4032.0,168,ProductB,2025-12-01,73.0,14.0
4045.0,169,ProductB,2025-01-01,29.0,3.0
1423.0,60,ProductA,2025-07-01,61.0,10.0
2731.0,114,,2025-07-01,128.0,16.0
715.0,30,ProductB,2025-07-01,13.0,2.0
3832.0,160,ProductB,2025-04-01,38.0,6.0
4464.0,186,ProductB,2025-12-01,19.0,3.0
849.0,36,ProductA,2025-09-01,17.0,3.0
2339.0,98,ProductA,2025-11-01,51.0,10.0
666.0,28,ProductB,2025-06-01,8.0,1.0
,142,ProductA,2025-05-01,40.0,5.0
3955.0,165,ProductB,07/01/2025,,8.0
1522.0,64,ProductA,2025-10-01,5.0,1.0
4766.0,199,ProductB,2025-02-01,21.0,2.0
2522.0,106,ProductA,2025-02-01,31.0,5.0
3600.0,150,ProductB,2025-12-01,,7.0
,73,ProductB,2025-12-01,40.0,5.0
3112.0,130,ProductB,2025-04-01,,4.0
4150.0,173,ProductB,2025-10-01,37.0,7.0
4142.0,173,,2025-02-01,25.0,4.0
1950.0,82,ProductA,2025-06-01,26.0,5.0
1397.0,59,ProductA,,33.0,6.0
1988.0,83,ProductB,2025-08-01,56.0,10.0
,58,ProductA,2025-09-01,43.0,5.0
2003.0,84,ProductA,2025-11-01,9.0,1.0
3867.0,162,ProductA,2025-03-01,33.0,
3338.0,140,ProductA,2025-02-01,8.0,1.0
4023.0,168,ProductB,2025-03-01,35.0,8.0
2929.0,123,ProductA,2025-01-01,34.0,5.0
3924.0,164,ProductA,2025-12-01,5.0,0.0
3907.0,163,ProductB,07/01/2025,26.0,5.0
1601.0,67,ProductB,2025-05-01,,5.0
2923.0,122,ProductB,2025-07-01,20.0,2.0
194.0,9,ProductA,2025-02-01,20.0,3.0
2969.0,124,ProductB,2025-05-01,5.0,0.0
1066.0,45,ProductA,2025-10-01,16.0,2.0
1582.0,66,ProductB,2025-10-01,73.0,16.0
2351.0,98,ProductB,11/01/2025,43.0,5.0
4091.0,171,ProductA,2025-11-01,11.0,1.0
583.0,25,ProductA,2025-07-01,47.0,11.0
2126.0,89,ProductB,2025-02-01,17.0,3.0
3580.0,150,ProductA,2025-04-01,22.0,4.0
3364.0,141,ProductA,2025-04-01,23.0,3.0
3195.0,134,ProductA,2025-03-01,33.0,5.0
4685.0,196,ProductA,2025-05-01,32.0,5.0
4307.0,180,ProductA,2025-11-01,54.0,9.0
1176.0,49,ProductB,2025-12-01,13.0,1.0
2334.0,98,ProductA,2025-06-01,31.0,4.0
1112.0,47,ProductA,08/01/2025,33.0,4.0
